ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-401217,Source2,2,2017-05-04T11:10:41Z,2017-05-04T11:40:09Z,37.300701,-122.032097,,,0.01,Accident on CA-85 Northbound before Exit 16 De Anza Blvd. On the median.,CA-85 S,San Jose,Santa Clara,CA,95129,US,US/Pacific,KSJC,2017-05-04T10:53:00Z,73,,66,29.92,10,NW,6.9,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1727327,Source2,2,2019-12-19T08:34:59Z,2019-12-19T09:19:50Z,36.111568,-95.922394,,,0,Accident on Yale Ave near 36th St.,E 36th St,Tulsa,Tulsa,OK,74135-2013,US,US/Central,KRVS,2019-12-19T08:53:00Z,35,35,64,29.62,10,CALM,0,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-2484072,Source2,3,2018-11-28T17:30:27Z,2018-11-28T18:00:13Z,42.68681,-73.802849,,,0,Right hand shoulder blocked due to accident on I-90 Eastbound at Exit 4 NY-85.,I-90 W,Albany,Albany,NY,12205,US,US/Eastern,KALB,2018-11-28T17:51:00Z,37,28.1,70,29.54,10,West,15,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-2197094,Source2,3,2019-04-01T18:13:14Z,2019-04-01T19:29:02Z,36.448147,-87.097748,,,0,Accident on I-24 Westbound at Exit 19 TN-256.,I-24 E,Cedar Hill,Robertson,TN,37032,US,US/Central,KCKV,2019-04-01T17:56:00Z,50,50,34,29.57,10,E,9,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4496479,Source1,4,2022-09-21T11:44:00Z,2022-09-21T13:52:58Z,40.901594,-79.590884,40.910825,-79.583524,0.745,Crash on WATERSONVILLE RD both directions between CRUMM RD and SR 0268 SH. All lanes closed.,PA-4017,Cowansville,Armstrong,PA,16218,US,US/Eastern,KBTP,2022-09-21T11:56:00Z,74,74,73,28.6,10,S,8,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4970578,Source1,2,2022-07-19T08:06:00Z,2022-07-19T10:11:38Z,34.39762473,-119.51203465,34.40158473,-119.51767465,0.422,Accident on US-101 N from CA-224/Casitas Pass Rd (US-101) to Linden Ave (US-101).,US-101,Carpinteria,Santa Barbara,CA,93013,US,US/Pacific,KSBA,2022-07-19T07:53:00Z,62,62,93,29.97,1,W,6,0,Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-825535,Source2,3,2021-11-10T16:41:40Z,2021-11-10T17:11:12Z,38.671097,-77.249046,,,0,Right lane blocked due to accident on I-95 Southbound at VA-123 Gordon Blvd.,I-95 N,Woodbridge,Prince William,VA,22191,US,US/Eastern,KDAA,2021-11-10T16:56:00Z,62,62,62,30.06,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6391453,Source1,2,2021-02-19T17:04:00Z,2021-02-19T19:03:08Z,34.138524,-117.24286,34.13831,-117.242326,0.034,Incident on I-210 EB near HIGHLAND AVE Drive with caution.,CA-210 E,San Bernardino,San Bernardino,CA,92404,US,US/Pacific,KSBD,2021-02-19T16:20:00Z,73,73,14,28.87,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5971304,Source1,2,2021-12-13T18:20:00Z,2021-12-13T20:28:44Z,38.002323,-121.833408,38.002421,-121.835477,0.113,Accident from Buchanan Rd to Delta Fair Blvd.,San Jose Dr,Antioch,Contra Costa,CA,94509,US,US/Pacific,KCCR,2021-12-13T17:53:00Z,54,54,90,29.59,9,S,14,0.04,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-2475940,Source2,3,2018-11-23T06:56:51Z,2018-11-23T07:25:16Z,30.316832,-81.769135,,,0.680000007152557,Entry ramp to I-295 Westbound at Exit 356 from I-10 Westbound lane blocked due to accident.,W Beltway N,Jacksonville,Duval,FL,32254,US,US/Eastern,KNIP,2018-11-23T06:53:00Z,62.1,,96,30.13,10,North,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-5150629,Source1,2,2022-12-29T05:51:30Z,2022-12-29T07:53:34Z,46.889007,-113.825659,46.889888,-113.820066,0.271,Travelers can expect the following: Crash with lanes blocked until further notice.,MT Highway 200 E,Bonner,Missoula,MT,59823-9700,US,US/Mountain,KMSO,2022-12-29T05:53:00Z,32,32,73,26.51,10,E,3,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3038960,Source2,2,2017-12-31T15:47:36Z,2017-12-31T16:17:10Z,45.010311,-93.166603,,,0,Accident on MN-36 Eastbound at MN-51 Snelling Ave.,Highway 36 W,Saint Paul,Ramsey,MN,55113,US,US/Central,KSTP,2017-12-31T15:53:00Z,-5.1,-22.5,54,30.81,10,West,10.4,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3936089,Source1,2,2023-01-13T18:00:41Z,2023-01-13T18:31:00Z,33.81238,-117.877964,33.833866,-117.875982,1.489,Slow traffic on CA-57 N - Orange Fwy N from Katella Ave (CA-57) to Lincoln Ave (CA-57) due to accident.,CA-57 N,Anaheim,Orange,CA,92806,US,US/Pacific,KFUL,2023-01-13T17:53:00Z,60,60,67,29.98,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-1000089,Source2,2,2021-06-17T08:17:28Z,2021-06-17T09:16:41Z,39.750801,-84.253036,,,0,Accident on Gettysburg Ave at Frances Ave.,N Gettysburg Ave,Dayton,Montgomery,OH,45417-1702,US,US/Eastern,KDAY,2021-06-17T07:56:00Z,64,64,58,28.99,10,SSE,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6184070,Source1,2,2021-07-11T23:31:00Z,2021-07-12T09:14:02Z,35.673443,-120.838081,35.672417,-120.852724,0.825,Incident on CHIMNEY ROCK RD near HOUSE 8493 Drive with caution.,Chimney Rock Rd,Paso Robles,San Luis Obispo,CA,93446-9788,US,US/Pacific,KPRB,2021-07-11T23:53:00Z,69,69,47,29.01,10,W,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-7047786,Source1,4,2020-05-23T11:53:44Z,2020-05-23T16:53:23Z,26.1071,-80.16878,25.95225,-80.17967,10.72,Closed at I-95 (North) - Road closed due to accident. Three lanes blocked.,I-95 S,Fort Lauderdale,Broward,FL,33312,US,US/Eastern,KFLL,2020-05-23T11:53:00Z,85,85,69,30.04,10,E,16,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5641322,Source1,2,2021-12-27T21:22:10Z,2021-12-27T22:37:10Z,32.652516,-96.77633,32.653157,-96.77508,0.085,Incident on MORGAN DR near SANTA ROSA DR Drive with caution.,Santa Rosa Way,Dallas,Dallas,TX,75241-6458,US,US/Central,KRBD,2021-12-27T20:53:00Z,67,67,79,28.98,10,SSE,8,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2558766,Source2,3,2018-09-01T10:12:24Z,2018-09-01T10:57:04Z,33.411228,-117.601318,,,0,Accident on I-5 Southbound at Exit 73 El Camino Real.,San Diego Fwy S,San Clemente,Orange,CA,92672,US,US/Pacific,KNXF,2018-09-01T09:56:00Z,71.1,,70,30.1,8,South,10.4,,Light Rain,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-7335331,Source1,2,2019-10-10T07:59:24Z,2019-10-10T11:59:24Z,45.54185,-122.43341,45.54065,-122.42661,0.339,At 238th Dr/Exit 16 - Accident.,NE Fairview Ave,Fairview,Multnomah,OR,97024,US,US/Pacific,KTTD,2019-10-10T07:53:00Z,45,37,53,30.37,10,E,20,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-7759881,Source1,2,2019-07-17T17:29:18Z,2019-07-17T17:56:37Z,41.23496,-74.03403,41.230913,-74.036319,0.304,Between RT-210/Gate Hill Rd/Exit 15 and Willow Grove Rd/Exit 14 - Accident. Right lane blocked.,Palisades Interstate Pkwy S,Stony Point,Rockland,NY,10980,US,US/Eastern,KHPN,2019-07-17T17:56:00Z,85,85,77,29.39,10,CALM,0,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-7432439,Source1,2,2019-03-25T07:23:27Z,2019-03-25T07:52:44Z,25.85834,-80.32283,25.84999,-80.3226,0.577,Between US-27/Okeechobee Rd and South River Dr - Accident. Right lane blocked.,NW 77th Ave,Miami Lakes,Miami-Dade,FL,33016-2506,US,US/Eastern,KOPF,2019-03-25T07:53:00Z,66.9,,81,30.11,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-208915,Source2,2,2016-09-20T19:26:50Z,2016-09-20T20:26:00Z,42.253067,-73.665604,,,0,Right hand shoulder blocked due to accident on NY-217 Eastbound around County Hwy-53 County Route 9.,County Route 9,Ghent,Columbia,NY,12075-2125,US,US/Eastern,KPSF,2016-09-20T19:54:00Z,66.9,,79,30.06,10,WSW,6.9,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-4496396,Source1,2,2022-09-27T16:51:00Z,2022-09-27T18:15:59Z,30.48657775,-87.2302115,30.49803775,-87.2299715,0.792,Incident on I-110 NB near EXIT 5 Drive with caution.,I-110,Pensacola,Escambia,FL,32503,US,US/Central,KPNS,2022-09-27T16:53:00Z,84,84,24,29.84,10,N,13,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1604526,Source2,2,2020-01-21T13:16:05Z,2020-01-21T14:20:35Z,47.378071,-122.244492,,,0,Right lane blocked due to accident on WA-167 Valley Fwy Westbound at WA-516 Kent Des Moines Rd.,S Kent des Moines Rd,Kent,King,WA,98032,US,US/Pacific,KSEA,2020-01-21T13:26:00Z,47,39,74,29.27,10,SSW,22,0,Light Rain / Windy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1448645,Source2,2,2020-05-26T06:36:14Z,2020-05-26T08:05:49Z,37.628296,-122.120888,,,0,Right hand shoulder blocked and #6 lane blocked due to accident on CA-92 Westbound at Exit 24 Clawiter Rd.,CA-92 W,Hayward,Alameda,CA,94545,US,US/Pacific,KHWD,2020-05-26T06:54:00Z,64,64,72,29.82,10,WNW,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2099828,Source2,3,2019-05-13T16:55:32Z,2019-05-13T17:41:11Z,37.808491,-122.367348,,,0,Center lane blocked due to accident on I-80 Bay Brg Westbound before Exit 4A Treasure Island Rd.,I-80 W,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2019-05-13T16:53:00Z,64,64,58,30,10,W,18,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1622611,Source2,2,2020-01-31T10:55:28Z,2020-01-31T12:16:59Z,29.602976,-98.36599,,,0,Accident on Green Mountain Rd at Tx-1604-Loop.,TX-1604,San Antonio,Bexar,TX,78247,US,US/Central,KSAT,2020-01-31T10:51:00Z,52,52,61,29.35,10,N,8,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2247730,Source2,3,2019-03-29T16:00:44Z,2019-03-29T17:20:41Z,33.911827,-118.159164,,,0,Accident on I-105 Eastbound at Exit 15 Somerset Ranch Rd.,Glenn Anderson Fwy E,South Gate,Los Angeles,CA,90280,US,US/Pacific,KCQT,2019-03-29T15:47:00Z,66.9,,40,30.11,10,WSW,3.5,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
